Name,Email,Phone,Branch,Year
Omkar Patil,ketangaikwad035@gmail.com,9877012345,CSE-ICB,SE
Riya Fernandes,ketangaikwad2905@gmail.com,9923456712,EXTC,BE
Vivek Nanda,ketangaikwad62@gmail.com,9891234567,AIML,TE
Ketan Gaikwad,ketangaikwad2005@gmail.com,9933445566,CSE-DS,BE
Akshat Singh,aiinnvovator@gmail.com,9811122233,IT,SE
Saanvi Deshmukh,canikissutime@gmail.com,9822233344,MECH,TE
Aarav Mehta,testaiacc29@gmail.com,9833344455,CIVIL,BE
Chetan Gaikwad,gaikwadchetan10@gmail.com,9844455566,CSE-DS,TE
Ananya Joshi,managedocs10@gmail.com,9855566677,IT,BE
Raj Sharma,projectinformation293@gmail.com,9866677788,CSE-AI,SE
Priya Kulkarni,ketangaikwad29@gmail.com,9877788899,ENTC,TE
